No.,Party Code,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          PARTY NAME,"SALES
POC",REF #,PI Date,ONo,Qty,Category,Model,Backing,Colour,Width,Length,Units (sq.ft./pc),Actual Rate,Bill Rate (Custom),Freight,TD,Taxable Value,Total (inc GST),Dispatch Approved,Approval Date,Total Received,Invoice No.,Dispatch Date,Remarks,"Dispatch 
Status",Month,STATE,REFRENCE ID,
1,Test,Test,,Test,25/05/2023,1,1,Rolls,NIMBO,Spike,White-Black,4ft,12m,157.52,₹40.00,₹28.00,₹0,"₹1,890","₹4,411","₹5,204",Yes,,300000,,Test,,Pending,,,PI-2553-/Test,RollsWhite-BlackNIMBOSpike4ft
2,Test,Test,,Test,25/05/2023,2,1,Rolls,NIMBO,Spike,White-Black,2ft,12m,157.52,₹40.00,₹28.00,₹0,"₹1,890","₹4,411","₹5,204",Yes,,,,Test,,Pending,,,PI-2553-/Test,RollsWhite-BlackNIMBOSpike2ft
3,Test,Test,,Test,25/05/2023,3,1,Rolls,ALTO,Spike,White-Black,4ft,12m,157.52,₹40.00,₹28.00,₹0,"₹1,890","₹4,411","₹5,204",Yes,,,,Test,,Pending,,,PI-2553-/Test,RollsWhite-BlackALTOSpike4ft
4,Test,Test,,Test,25/05/2023,4,1,Rolls,ALTO,Spike,White-Black,2ft,12m,157.52,₹40.00,₹28.00,₹0,"₹1,890","₹4,411","₹5,204",Yes,,,,Test,,Pending,,,#REF!,RollsWhite-BlackALTOSpike2ft
5,Test,Test,,Test,25/05/2023,5,1,Rolls,METO,Calendar,Brown,4ft,15m,196.9,₹40.00,₹28.00,₹0,"₹2,363","₹5,513","₹6,506",Yes,,,,Test,,Pending,,,PI-2553-/Test,RollsBrownMETOCalendar4ft
6,Test,Test,,Test,25/05/2023,6,1,Rolls,METO,Calendar,Grey,4ft,15m,196.9,₹40.00,₹28.00,₹0,"₹2,363","₹5,513","₹6,506",Yes,,,,Test,,Pending,,,PI-2553-/Test,RollsGreyMETOCalendar4ft
7,Test,Test,,Test,25/05/2023,1,1,Rolls,METO,Calendar,Maroon,4ft,15m,196.9,₹40.00,₹28.00,₹0,"₹2,363","₹5,513","₹6,506",Yes,,50000,,Test,,Pending,,,PI-2553-/Test,RollsMaroonMETOCalendar4ft
8,Test,Test,,Test,25/05/2023,2,1,Rolls,METO,Calendar,Beige-Brown,4ft,15m,196.9,₹40.00,₹28.00,₹0,"₹2,363","₹5,513","₹6,506",Yes,,,,Test,,Pending,,,PI-2553-/Test,RollsBeige-BrownMETOCalendar4ft
9,Test,Test,,Test,25/05/2023,3,1,Rolls,METO,Calendar,Dark Grey-Black,4ft,15m,196.9,₹40.00,₹28.00,₹0,"₹2,363","₹5,513","₹6,506",Yes,,,,Test,,Pending,,,PI-2553-/Test,RollsDark Grey-BlackMETOCalendar4ft
10,Test,Test,,Test,25/05/2023,4,1,Rolls,METO,Calendar,Light Grey-Black,4ft,15m,196.9,₹40.00,₹28.00,₹0,"₹2,363","₹5,513","₹6,506",Yes,,,,Test,,Pending,,,PI-2553-/Test,RollsLight Grey-BlackMETOCalendar4ft
11,Test,Test,,Test,25/05/2023,5,1,Rolls,METO,Calendar,Red-Black,4ft,15m,196.9,₹40.00,₹28.00,₹0,"₹2,363","₹5,513","₹6,506",Yes,,,,Test,,Pending,,,PI-2553-/Test,RollsRed-BlackMETOCalendar4ft
12,Test,Test,,Test,25/05/2023,6,1,Rolls,METO,Calendar,Green-Black,4ft,15m,196.9,₹40.00,₹28.00,₹0,"₹2,363","₹5,513","₹6,506",Yes,,,,Test,,Pending,,,PI-2553-/Test,RollsGreen-BlackMETOCalendar4ft
13,Test,Test,,Test,25/05/2023,1,1,S-Mat,TEFNO - 900,S-Mat,Grey,4ft,10m,131.26,₹70.00,₹49.00,₹0,"₹2,756","₹6,432","₹7,589",Yes,,50000,,Test,,Pending,,,PI-2553-/Test,S-MatGreyTEFNO - 900S-Mat4ft
14,Test,Test,,Test,25/05/2023,2,1,Rolls,METO,Calendar,Tan-Black,4ft,15m,196.9,₹40.00,₹28.00,₹0,"₹2,363","₹5,513","₹6,506",Yes,,,,Test,,Pending,,,PI-2553-/Test,RollsTan-BlackMETOCalendar4ft
